
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
  215 | 6.59e-08  2.51e-08  4.60e-08 | 2.57e-10  6.47e-11  8.02e-10 | 6.56e-01 | 5.997e+00 | 7.0444e+01 | 3.9926e-02 | 1.632 | 1.496e-03
  220 | 5.34e-08  1.54e-08  4.03e-08 | 2.32e-10  2.94e-11  6.68e-10 | 6.56e-01 | 5.998e+00 | 7.0444e+01 | 3.9928e-02 | 1.628 | 1.480e-03
  225 | 4.82e-08  1.73e-08  3.40e-08 | 2.14e-10  5.32e-11  5.66e-10 | 6.56e-01 | 5.998e+00 | 7.0444e+01 | 3.9929e-02 | 1.623 | 1.476e-03
  230 | 3.90e-08  1.33e-08  3.00e-08 | 1.88e-10  4.01e-11  4.95e-10 | 6.56e-01 | 5.998e+00 | 7.0444e+01 | 3.9930e-02 | 1.619 | 1.463e-03
  235 | 3.49e-08  1.10e-08  2.53e-08 | 1.68e-10  3.14e-11  4.26e-10 | 6.56e-01 | 5.999e+00 | 7.0444e+01 | 3.9932e-02 | 1.615 | 1.453e-03
  240 | 3.23e-08  1.00e-08  2.19e-08 | 1.52e-10  3.39e-11  3.84e-10 | 6.56e-01 | 5.999e+00 | 7.0444e+01 | 3.9933e-02 | 1.613 | 1.446e-03
  245 | 2.60e-08  7.23e-09  2.02e-08 | 1.37e-10  2.52e-11  3.37e-10 | 6.56e-01 | 6.000e+00 | 7.0444e+01 | 3.9934e-02 | 1.609 | 1.439e-03
  250 | 2.40e-08  7.45e-09  1.87e-08 | 1.21e-10  3.21e-11  3.12e-10 | 6.56e-01 | 6.000e+00 | 7.0444e+01 | 3.9935e-02 | 1.605 | 1.436e-03
  255 | 2.30e-08  6.38e-09  1.70e-08 | 1.04e-10  2.75e-11  2.93e-10 | 6.56e-01 | 6.001e+00 | 7.0444e+01 | 3.9937e-02 | 1.603 | 1.429e-03
  260 | 1.99e-08  4.99e-09  1.58e-08 | 9.13e-11  1.62e-11  2.71e-10 | 6.56e-01 | 6.001e+00 | 7.0444e+01 | 3.9938e-02 | 1.601 | 1.424e-03
  265 | 1.82e-08  6.34e-09  1.46e-08 | 8.44e-11  2.91e-11  2.24e-10 | 6.56e-01 | 6.002e+00 | 7.0444e+01 | 3.9939e-02 | 1.598 | 1.421e-03
  270 | 1.74e-08  4.46e-09  1.34e-08 | 7.45e-11  1.77e-11  1.96e-10 | 6.56e-01 | 6.002e+00 | 7.0444e+01 | 3.9940e-02 | 1.595 | 1.416e-03
  275 | 1.58e-08  4.18e-09  1.28e-08 | 6.54e-11  1.93e-11  1.94e-10 | 6.56e-01 | 6.003e+00 | 7.0444e+01 | 3.9941e-02 | 1.593 | 1.411e-03
  280 | 1.42e-08  4.63e-09  1.23e-08 | 5.43e-11  2.26e-11  1.95e-10 | 6.56e-01 | 6.003e+00 | 7.0444e+01 | 3.9942e-02 | 1.593 | 1.406e-03
