 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ
  480  3.82E-10  1.79E-10  1.01E-09  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  485  3.46E-10  1.75E-10  9.66E-10  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  490  3.32E-10  1.71E-10  9.17E-10  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  495  3.34E-10  1.58E-10  8.56E-10  6.007E+00  7.08E-01  7.0445E+01  1.359E-03
  500  3.20E-10  1.45E-10  7.96E-10  6.007E+00  7.08E-01  7.0445E+01  1.359E-03
  505  3.16E-10  1.34E-10  7.50E-10  6.007E+00  7.08E-01  7.0445E+01  1.359E-03
  510  3.00E-10  1.23E-10  7.12E-10  6.007E+00  7.08E-01  7.0445E+01  1.360E-03
  515  2.76E-10  1.21E-10  6.75E-10  6.007E+00  7.08E-01  7.0445E+01  1.360E-03
  520  2.66E-10  1.21E-10  6.45E-10  6.007E+00  7.08E-01  7.0445E+01  1.361E-03
  525  2.64E-10  1.12E-10  6.02E-10  6.007E+00  7.08E-01  7.0445E+01  1.362E-03
  530  2.58E-10  1.04E-10  5.57E-10  6.007E+00  7.08E-01  7.0445E+01  1.362E-03
  535  2.52E-10  1.02E-10  5.20E-10  6.007E+00  7.08E-01  7.0445E+01  1.362E-03
  540  2.41E-10  9.59E-11  4.91E-10  6.007E+00  7.08E-01  7.0445E+01  1.363E-03
  545  2.23E-10  9.44E-11  4.60E-10  6.007E+00  7.08E-01  7.0445E+01  1.363E-03
  550  2.09E-10  9.16E-11  4.37E-10  6.007E+00  7.08E-01  7.0445E+01  1.364E-03
  555  2.13E-10  8.70E-11  4.10E-10  6.007E+00  7.08E-01  7.0445E+01  1.364E-03
  560  2.04E-10  8.27E-11  3.77E-10  6.007E+00  7.08E-01  7.0445E+01  1.364E-03
  565  1.97E-10  7.69E-11  3.53E-10  6.007E+00  7.08E-01  7.0445E+01  1.364E-03
  570  1.88E-10  7.56E-11  3.33E-10  6.007E+00  7.08E-01  7.0445E+01  1.365E-03
  575  1.70E-10  7.35E-11  3.13E-10  6.007E+00  7.08E-01  7.0445E+01  1.365E-03
  580  1.59E-10  6.98E-11  2.99E-10  6.007E+00  7.08E-01  7.0445E+01  1.365E-03
  585  1.58E-10  6.64E-11  2.83E-10  6.007E+00  7.08E-01  7.0445E+01  1.365E-03
  590  1.53E-10  6.02E-11  2.64E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  595  1.40E-10  5.79E-11  2.50E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  600  1.37E-10  5.51E-11  2.36E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  605  1.24E-10  5.46E-11  2.25E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  610  1.15E-10  5.22E-11  2.17E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  615  1.15E-10  5.06E-11  2.09E-10  6.007E+00  7.08E-01  7.0445E+01  1.366E-03
  620  1.10E-10  4.73E-11  1.98E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  625  1.02E-10  4.40E-11  1.88E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  630  9.85E-11  4.16E-11  1.79E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  635  9.24E-11  4.12E-11  1.71E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  640  8.65E-11  3.93E-11  1.66E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  645  8.57E-11  3.84E-11  1.60E-10  6.007E+00  7.08E-01  7.0445E+01  1.367E-03
  650  8.33E-11  3.65E-11  1.53E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  655  7.82E-11  3.39E-11  1.46E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  660  7.57E-11  3.21E-11  1.39E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  665  7.23E-11  3.17E-11  1.34E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
